icone_sysml1;type_sysml2;concept_sysml2_definition;concept_sysml2_usage;action;confiance;commentaire;chemin_source;chemin_destination
binding;relation;;BindingConnector;recolorer;moyenne;icone de palette/outil de diagramme pour tracer un binding connector (visuel : deux losanges relies par une double fleche) - a distinguer de bindingconnector.png qui semble etre l'icone d'arbre de modele du meme concept (verifie visuellement le 2026-09-24);C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\binding.png;icons-study/07-icones-sources/sysml1/binding.png
link_delegate;relation;;;recolorer;basse;connecteur de delegation - a valider si un concept distinct existe en v2 (sinon = ConnectionUsage standard);C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\link_delegate.png;icons-study/07-icones-sources/sysml1/link_delegate.png
sysmlback;autre;;;recolorer;haute;icone de navigation UI (retour), pas un element de modele - a exclure du perimetre;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlback.png;icons-study/07-icones-sources/sysml1/sysmlback.png
backback;autre;;;recolorer;haute;icone de navigation UI (retour), pas un element de modele - a exclure du perimetre;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\backback.png;icons-study/07-icones-sources/sysml1/backback.png
usage;autre;Usage;;recolorer;basse;metaclasse abstraite racine (KerML), utile comme icone de secours generique uniquement;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\usage.png;icons-study/07-icones-sources/sysml1/usage.png
;element;;AcceptActionUsage;recolorer;haute;pas de base SysML1 - repli UML : standard.acceptsignalaction.png - Definition couverte par ActionDefinition (ligne activity), ce sous-type n'a pas de Definition dediee;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.acceptsignalaction.png;icons-study/07-icones-sources/uml/standard.acceptsignalaction.png
;element;;SendActionUsage;recolorer;haute;pas de base SysML1 - repli UML : standard.sendsignalaction.png - idem AcceptActionUsage;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.sendsignalaction.png;icons-study/07-icones-sources/uml/standard.sendsignalaction.png
;element;;AssignmentActionUsage;creer;basse;aucune base SysML1 ni UML pertinente identifiee - a dessiner;;
;element;;IfActionUsage;recolorer;moyenne;pas de base SysML1 - repli UML : standard.conditionalnode.png;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.conditionalnode.png;icons-study/07-icones-sources/uml/standard.conditionalnode.png
;element;;LoopActionUsage;recolorer;moyenne;pas de base SysML1 - repli UML : standard.loopnode.png - ForLoopActionUsage/WhileLoopActionUsage = variantes avec badge for/while, meme base;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.loopnode.png;icons-study/07-icones-sources/uml/standard.loopnode.png
;element;;PerformActionUsage;recolorer;moyenne;pas de base SysML1 - repli UML : standard.callbehavioraction.png;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.callbehavioraction.png;icons-study/07-icones-sources/uml/standard.callbehavioraction.png
;element;;TerminateActionUsage;derive;basse;pas de base SysML1 - repli UML : standard.flowfinalnode.png;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.flowfinalnode.png;icons-study/07-icones-sources/uml/standard.flowfinalnode.png
;element;;ForkNode;recolorer;moyenne;pas de base SysML1 - repli UML : standard.forkjoinnode.png;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.forkjoinnode.png;icons-study/07-icones-sources/uml/standard.forkjoinnode.png
;element;;JoinNode;recolorer;moyenne;pas de base SysML1 - repli UML : standard.forkjoinnode.png (meme pictogramme que ForkNode en UML);H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.forkjoinnode.png;icons-study/07-icones-sources/uml/standard.forkjoinnode.png
;element;;MergeNode;recolorer;haute;pas de base SysML1 - repli UML : standard.mergenode.png;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.mergenode.png;icons-study/07-icones-sources/uml/standard.mergenode.png
;element;;DecisionNode;recolorer;haute;pas de base SysML1 - repli UML : standard.decisionmergenode.png;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.decisionmergenode.png;icons-study/07-icones-sources/uml/standard.decisionmergenode.png
;element;;TransitionUsage;recolorer;haute;pas de base SysML1 - repli UML : standard.transition.png - Definition non applicable (relation de StateUsage);H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.transition.png;icons-study/07-icones-sources/uml/standard.transition.png
;element;;EventOccurrenceUsage;derive;basse;pas de base SysML1 - repli UML : standard.event.png;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.event.png;icons-study/07-icones-sources/uml/standard.event.png
;element;;ExhibitStateUsage;derive;basse;variante de StateUsage (etat exhibe par une occurrence) - repli UML : standard.state.png;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.state.png;icons-study/07-icones-sources/uml/standard.state.png
;element;;AssertConstraintUsage;derive;moyenne;variante de ConstraintUsage (assertion) - badge sur la base constraintproperty.png;;
;element;;Invariant;derive;moyenne;variante permanente de ConstraintUsage - badge sur la base constraintproperty.png;;
;element;ConjugatedPortDefinition;;derive;moyenne;variante miroir de PortDefinition (port conjugue) - badge sur la base port.png;;
;element;;BindingConnectorAsUsage;recolorer;moyenne;forme usage de BindingConnector, meme base que bindingconnector.png/binding.png;;
;element;;SatisfyRequirementUsage;derive;moyenne;variante de RequirementUsage avec badge de verification (check) - base requirement.png;;
;element;;IncludeUseCaseUsage;recolorer;haute;pas de base SysML1 - repli UML : standard.usecasedependencyinclude.png;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.usecasedependencyinclude.png;icons-study/07-icones-sources/uml/standard.usecasedependencyinclude.png
;element;CalculationDefinition;CalculationUsage;derive;basse;pas de base SysML1 dediee - rapprocher de ConstraintDefinition/Usage (comportement retournant une valeur), base constraintblock.png/constraintproperty.png;;
;autre;LibraryPackage;;derive;moyenne;variante de Package (bibliotheque) - badge sur la base package.png;;
;autre;SysMLProject;;aucune;haute;icone deja existante dans le module cible (sysml.sysmlproject.png) - aucune action requise;;H:\modelio\work\modelio-source\modelio\sysml\sysml.ui\mmimages\sysml.sysmlproject.png
;element;;AttributeUsage;derive;moyenne;pas de base SysML1 utilisable - repli UML : standard.attribute.png (lettre 'a' generique, pas de nom de type grave en dur contrairement a valuetype.png) - trou expose par la correction du 2026-09-24 sur la ligne valuetype;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.attribute.png;icons-study/07-icones-sources/uml/standard.attribute.png
actor;element;PartDefinition (stereotype);PartUsage (stereotype);derive;basse;Actor n'est plus une metaclasse en v2 (role porte par un PartUsage/etiquette) - a confirmer si un badge bonhomme est conserve sur PartDefinition/PartUsage;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\actor.png;icons-study/07-icones-sources/sysml1/actor.png
constraint;autre;;;recolorer;basse;visuellement different de constraintproperty.png (petite pochette/etiquette orange, pas de symbole d'accolades) - ne represente pas clairement une contrainte, a ne PAS utiliser comme base pour ConstraintUsage (verifie visuellement le 2026-09-24) - role reel dans SysMLArchitect a identifier avant reutilisation;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\constraint.png;icons-study/07-icones-sources/sysml1/constraint.png
flowport_indiagram;element;PortDefinition;PortUsage (direction in);derive;moyenne;vignette de diagramme de flowport_in.png, meme concept;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_indiagram.png;icons-study/07-icones-sources/sysml1/flowport_indiagram.png
flowport_inoutdiagram;element;PortDefinition;PortUsage (direction inout);derive;moyenne;vignette de diagramme de flowport_inout.png, meme concept;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_inoutdiagram.png;icons-study/07-icones-sources/sysml1/flowport_inoutdiagram.png
flowport_outdiagram;element;PortDefinition;PortUsage (direction out);derive;moyenne;vignette de diagramme de flowport_out.png, meme concept;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_outdiagram.png;icons-study/07-icones-sources/sysml1/flowport_outdiagram.png
sysmldiagram;diagramme;;;recolorer;haute;icone generique de type de diagramme SysML;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmldiagram.png;icons-study/07-icones-sources/sysml1/sysmldiagram.png
traceability;relation;Trace (relation);;recolorer;haute;doublon visuel confirme de trace.png (image identique, verifie visuellement le 2026-09-24) - ne garder qu'un seul des deux fichiers en base de production, l'autre est superflu;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\traceability.png;icons-study/07-icones-sources/sysml1/traceability.png
